user_id,generation,country,subscription_status,registration_cohort,tenure_years,tenure_year_group,active_score,reactive_score,total_engagement_score,daily_active_hours_group,days_since_last_login,inactivity_by_tenure,status
859263,Gen X,United States,Premium,2019–2021 Monetization,7,5–7 years,0.30474,0.50771,0.81246,2–4 hours,196,0.07671, Recently active
585033,Gen X,United States,Premium,2022–2025 Mature,4,2–4 years,0.24034,0.39971,0.64005,2–4 hours,347,0.23767, Recently active
1157396,Gen Z,Australia,Free,2022–2025 Mature,2,2–4 years,0.44738,0.71400,1.16138,4–6 hours,72,0.09863, Recently active
46195,Millennials,United States,Free,2019–2021 Monetization,6,5–7 years,0.07845,0.16400,0.24245,<1 hour,343,0.15662, Recently active
1300909,Millennials,United States,Free,2022–2025 Mature,1,< 2 years,0.23659,0.47257,0.70916,2–4 hours,152,0.41644,Active
1047198,Boomers,Canada,Business,2022–2025 Mature,3,2–4 years,0.09552,0.20952,0.30505,<1 hour,182,0.16621, Recently active
193195,Gen X,United States,Free,2010–2012 Early adopters,14,10+ years,0.33254,0.31152,0.64407,2–4 hours,73,0.01429, Recently active
100304,Gen Z,India,Business,2013–2015 Growth,11,10+ years,0.38699,0.59648,0.98347,2–4 hours,197,0.04907, Recently active
630890,Boomers,India,Free,2019–2021 Monetization,7,5–7 years,0.31923,0.57762,0.89685,4–6 hours,40,0.01566, Recently active
880744,Gen X,United States,Free,2019–2021 Monetization,7,5–7 years,0.41767,0.74105,1.15872,4–6 hours,176,0.06888, Recently active
833703,Gen X,United States,Business,2016–2018 Expansion,9,8–10 years,0.24242,0.45524,0.69766,2–4 hours,195,0.05936, Recently active
1080437,Gen Z,Brazil,Free,2010–2012 Early adopters,16,10+ years,0.36033,0.52962,0.88995,2–4 hours,287,0.04914, Recently active
1098004,Millennials,Brazil,Free,2019–2021 Monetization,6,5–7 years,0.41512,0.65848,1.07360,4–6 hours,36,0.01644, Recently active
88048,Gen Z,India,Premium,2022–2025 Mature,1,< 2 years,0.40310,0.69686,1.09996,4–6 hours,222,0.60822,At risk
979069,Gen X,Australia,Free,2013–2015 Growth,11,10+ years,0.18926,0.37086,0.56011,2–4 hours,140,0.03487, Recently active
402958,Gen X,India,Free,2016–2018 Expansion,9,8–10 years,0.11900,0.13924,0.25824,<1 hour,241,0.07336, Recently active
1490155,Millennials,United Kingdom,Premium,2013–2015 Growth,12,10+ years,0.40043,0.80857,1.20901,4–6 hours,339,0.07740, Recently active
26712,Millennials,Brazil,Premium,2010–2012 Early adopters,16,10+ years,0.19980,0.44048,0.64028,2–4 hours,112,0.01918, Recently active
1408299,Gen X,Canada,Free,2013–2015 Growth,13,10+ years,0.15898,0.16590,0.32489,<1 hour,313,0.06596, Recently active
981502,Boomers,United States,Business,2013–2015 Growth,11,10+ years,0.20770,0.40838,0.61608,2–4 hours,248,0.06177, Recently active
952339,Gen Z,Australia,Free,2013–2015 Growth,12,10+ years,0.47638,0.78857,1.26495,4–6 hours,84,0.01918, Recently active
789117,Gen X,United States,Premium,2013–2015 Growth,11,10+ years,0.37100,0.56867,0.93967,4–6 hours,15,0.00374, Recently active
1466093,Gen Z,United States,Free,2010–2012 Early adopters,14,10+ years,0.27590,0.47905,0.75494,2–4 hours,19,0.00372, Recently active
1099952,Gen Z,Brazil,Free,2019–2021 Monetization,6,5–7 years,0.34925,0.50505,0.85429,2–4 hours,317,0.14475, Recently active
155754,Millennials,Australia,Free,2016–2018 Expansion,10,8–10 years,0.24368,0.44495,0.68863,2–4 hours,122,0.03342, Recently active
712038,Boomers,Canada,Free,2019–2021 Monetization,6,5–7 years,0.11633,0.23571,0.35204,1–2 hours,275,0.12557, Recently active
1144206,Boomers,Canada,Premium,2022–2025 Mature,2,2–4 years,0.25285,0.48162,0.73447,2–4 hours,263,0.36027,Active
5881,Boomers,United States,Business,2022–2025 Mature,2,2–4 years,0.28074,0.45752,0.73827,2–4 hours,31,0.04247, Recently active
1405797,Gen X,Germany,Free,2022–2025 Mature,2,2–4 years,0.40423,0.57362,0.97785,2–4 hours,219,0.30000,Active
16811,Boomers,Australia,Free,2022–2025 Mature,3,2–4 years,0.08955,0.15200,0.24155,<1 hour,48,0.04384, Recently active
473130,Gen Z,Brazil,Free,2019–2021 Monetization,7,5–7 years,0.27924,0.43229,0.71152,2–4 hours,266,0.10411, Recently active
118298,Millennials,United States,Free,2019–2021 Monetization,6,5–7 years,0.23980,0.41581,0.65561,2–4 hours,72,0.03288, Recently active
1230602,Boomers,Brazil,Business,2010–2012 Early adopters,16,10+ years,0.60662,0.77962,1.38624,6+ hours,178,0.03048, Recently active
106860,Millennials,India,Premium,2022–2025 Mature,4,2–4 years,0.16700,0.32048,0.48748,1–2 hours,236,0.16164, Recently active
1273702,Millennials,India,Free,2016–2018 Expansion,9,8–10 years,0.48820,0.67467,1.16287,4–6 hours,362,0.11020, Recently active
1239965,Gen Z,United States,Free,2010–2012 Early adopters,15,10+ years,0.29087,0.54238,0.83325,2–4 hours,62,0.01132, Recently active
953498,Boomers,Brazil,Business,2022–2025 Mature,3,2–4 years,0.24507,0.35876,0.60383,2–4 hours,151,0.13790, Recently active
1431853,Gen Z,United Kingdom,Premium,2022–2025 Mature,2,2–4 years,0.49185,0.71552,1.20738,4–6 hours,3,0.00411, Recently active
1381092,Gen X,Canada,Free,2016–2018 Expansion,8,8–10 years,0.17716,0.21657,0.39373,<1 hour,224,0.07671, Recently active
955524,Gen Z,United Kingdom,Free,2013–2015 Growth,13,10+ years,0.42548,0.60695,1.03243,2–4 hours,214,0.04510, Recently active
200733,Boomers,Brazil,Free,2022–2025 Mature,2,2–4 years,0.10719,0.16562,0.27281,<1 hour,165,0.22603, Recently active
1345593,Gen X,Other,Premium,2019–2021 Monetization,5,5–7 years,0.37060,0.56086,0.93146,2–4 hours,299,0.16384, Recently active
513875,Gen X,United States,Business,2022–2025 Mature,4,2–4 years,0.10941,0.17695,0.28636,<1 hour,180,0.12329, Recently active
551597,Millennials,Germany,Free,2010–2012 Early adopters,16,10+ years,0.36893,0.52076,0.88969,2–4 hours,264,0.04521, Recently active
710397,Gen Z,India,Free,2019–2021 Monetization,6,5–7 years,0.44960,0.76857,1.21817,4–6 hours,153,0.06986, Recently active
471364,Gen Z,United States,Free,2013–2015 Growth,11,10+ years,0.57069,0.77571,1.34641,6+ hours,175,0.04359, Recently active
930683,Gen X,India,Business,2022–2025 Mature,4,2–4 years,0.37936,0.62133,1.00070,4–6 hours,311,0.21301, Recently active
767685,Gen Z,United Kingdom,Free,2016–2018 Expansion,8,8–10 years,0.65582,0.87714,1.53296,6+ hours,198,0.06781, Recently active
414652,Millennials,United States,Free,2022–2025 Mature,4,2–4 years,0.39389,0.63248,1.02637,4–6 hours,244,0.16712, Recently active
473031,Millennials,Other,Free,2016–2018 Expansion,8,8–10 years,0.43796,0.53000,0.96796,2–4 hours,93,0.03185, Recently active
962458,Millennials,Australia,Free,2022–2025 Mature,3,2–4 years,0.35931,0.70638,1.06569,4–6 hours,277,0.25297,Active
1231267,Gen Z,South Korea,Free,2016–2018 Expansion,10,8–10 years,0.49055,0.71248,1.20303,4–6 hours,281,0.07699, Recently active
1251916,Millennials,United Kingdom,Free,2022–2025 Mature,4,2–4 years,0.12163,0.26714,0.38877,1–2 hours,121,0.08288, Recently active
640418,Gen Z,Other,Free,2013–2015 Growth,11,10+ years,0.29893,0.60924,0.90817,2–4 hours,339,0.08443, Recently active
283850,Boomers,United States,Free,2016–2018 Expansion,9,8–10 years,0.17010,0.12867,0.29876,<1 hour,263,0.08006, Recently active
261902,Gen Z,United States,Business,2013–2015 Growth,12,10+ years,0.25479,0.45333,0.70812,2–4 hours,54,0.01233, Recently active
1179356,Millennials,Brazil,Free,2010–2012 Early adopters,15,10+ years,0.33959,0.71810,1.05769,4–6 hours,96,0.01753, Recently active
618198,Gen Z,United Kingdom,Free,2016–2018 Expansion,9,8–10 years,0.24658,0.52238,0.76896,2–4 hours,349,0.10624, Recently active
311808,Gen Z,Germany,Free,2022–2025 Mature,2,2–4 years,0.32880,0.54381,0.87261,2–4 hours,96,0.13151, Recently active
956138,Gen Z,United States,Free,2022–2025 Mature,4,2–4 years,0.30230,0.53343,0.83572,2–4 hours,217,0.14863, Recently active
1078051,Millennials,India,Free,2016–2018 Expansion,10,8–10 years,0.42891,0.82229,1.25120,6+ hours,233,0.06384, Recently active
721600,Millennials,Canada,Business,2016–2018 Expansion,10,8–10 years,0.17507,0.35190,0.52698,1–2 hours,134,0.03671, Recently active
392377,Millennials,Brazil,Free,2010–2012 Early adopters,15,10+ years,0.27269,0.49143,0.76411,2–4 hours,53,0.00968, Recently active
221171,Gen Z,Canada,Free,2022–2025 Mature,3,2–4 years,0.56597,0.81571,1.38168,6+ hours,190,0.17352, Recently active
1336429,Millennials,Other,Free,2016–2018 Expansion,8,8–10 years,0.37574,0.54895,0.92469,2–4 hours,35,0.01199, Recently active
366713,Gen Z,Brazil,Free,2022–2025 Mature,2,2–4 years,0.19800,0.22800,0.42600,<1 hour,333,0.45616,Active
169482,Millennials,Canada,Premium,2022–2025 Mature,2,2–4 years,0.33045,0.59371,0.92417,2–4 hours,64,0.08767, Recently active
625142,Gen Z,Canada,Free,2022–2025 Mature,2,2–4 years,0.17175,0.30324,0.47498,<1 hour,156,0.21370, Recently active
1127878,Boomers,United Kingdom,Premium,2016–2018 Expansion,10,8–10 years,0.36269,0.75171,1.11440,4–6 hours,344,0.09425, Recently active
723505,Millennials,South Korea,Free,2022–2025 Mature,1,< 2 years,0.11315,0.18829,0.30143,<1 hour,246,0.67397,At risk
800269,Millennials,Canada,Free,2019–2021 Monetization,7,5–7 years,0.50582,0.79714,1.30297,6+ hours,1,0.00039, Recently active
243962,Millennials,United States,Premium,2022–2025 Mature,1,< 2 years,0.33156,0.66905,1.00061,4–6 hours,82,0.22466, Recently active
147373,Gen X,India,Premium,2022–2025 Mature,3,2–4 years,0.23007,0.43171,0.66179,2–4 hours,105,0.09589, Recently active
1287897,Gen Z,United States,Free,2013–2015 Growth,13,10+ years,0.60722,0.83571,1.44293,6+ hours,352,0.07418, Recently active
1422653,Gen X,United States,Free,2019–2021 Monetization,6,5–7 years,0.14300,0.24600,0.38900,1–2 hours,271,0.12374, Recently active
62992,Gen Z,Japan,Free,2022–2025 Mature,2,2–4 years,0.28048,0.48790,0.76838,2–4 hours,39,0.05342, Recently active
1033693,Millennials,Germany,Free,2013–2015 Growth,11,10+ years,0.29477,0.61000,0.90477,4–6 hours,70,0.01743, Recently active
1232259,Gen X,United States,Premium,2013–2015 Growth,11,10+ years,0.15522,0.19924,0.35446,<1 hour,358,0.08917, Recently active
217056,Gen X,South Korea,Free,2013–2015 Growth,11,10+ years,0.20827,0.36457,0.57284,2–4 hours,187,0.04658, Recently active
293532,Boomers,United States,Free,2013–2015 Growth,12,10+ years,0.16816,0.22933,0.39749,<1 hour,81,0.01849, Recently active
1310894,Boomers,India,Free,2013–2015 Growth,12,10+ years,0.07845,0.14429,0.22273,<1 hour,98,0.02237, Recently active
1511922,Gen Z,United States,Business,2019–2021 Monetization,5,5–7 years,0.37530,0.74381,1.11911,4–6 hours,207,0.11342, Recently active
339273,Gen X,South Korea,Business,2013–2015 Growth,12,10+ years,0.36947,0.63933,1.00880,4–6 hours,38,0.00868, Recently active
588253,Millennials,India,Business,2022–2025 Mature,2,2–4 years,0.09761,0.17114,0.26875,<1 hour,51,0.06986, Recently active
1365110,Millennials,India,Free,2010–2012 Early adopters,14,10+ years,0.26254,0.42619,0.68873,2–4 hours,343,0.06712, Recently active
1480642,Millennials,United Kingdom,Free,2016–2018 Expansion,8,8–10 years,0.44587,0.64267,1.08854,4–6 hours,334,0.11438, Recently active
966220,Gen X,United States,Free,2019–2021 Monetization,7,5–7 years,0.12651,0.13114,0.25765,<1 hour,158,0.06184, Recently active
1260896,Millennials,Brazil,Free,2013–2015 Growth,11,10+ years,0.16494,0.28857,0.45351,1–2 hours,38,0.00946, Recently active
327300,Millennials,South Korea,Free,2010–2012 Early adopters,15,10+ years,0.16285,0.36905,0.53190,2–4 hours,215,0.03927, Recently active
