user_id,app_name,age,gender,country,urban_rural,income_level,employment_status,education_level,relationship_status,has_children,exercise_hours_per_week,sleep_hours_per_night,diet_quality,smoking,alcohol_frequency,perceived_stress_score,self_reported_happiness,body_mass_index,blood_pressure_systolic,blood_pressure_diastolic,daily_steps_count,weekly_work_hours,hobbies_count,social_events_per_month,books_read_per_year,volunteer_hours_per_month,travel_frequency_per_year,daily_active_minutes_instagram,sessions_per_day,posts_created_per_week,reels_watched_per_day,stories_viewed_per_day,likes_given_per_day,comments_written_per_day,dms_sent_per_week,dms_received_per_week,ads_viewed_per_day,ads_clicked_per_day,time_on_feed_per_day,time_on_explore_per_day,time_on_messages_per_day,time_on_reels_per_day,followers_count,following_count,uses_premium_features,notification_response_rate,account_creation_year,last_login_date,average_session_length_minutes,content_type_preference,preferred_content_theme,privacy_setting_level,two_factor_auth_enabled,biometric_login_used,linked_accounts_count,subscription_status,user_engagement_score
1470759,Instagram,26,Male,Other,Suburban,Lower-middle,Full-time employed,Bachelor’s,Married,t,5.7,7.4,Good,No,Never,28,6,21.3,115,98,7997,39.3,2,4,14,2.9,1,218.0,16,3,245,129,140,44,30,36,23,3,111,40,53,55,389,631,f,0.15,2024,2025-06-14,13.6,Photos,Music,Private,t,t,3,Free,1.08
662972,Instagram,27,Male,Other,Suburban,Middle,Full-time employed,Some college,Married,f,2.5,6.0,Poor,Yes,Weekly,23,9,22.5,143,67,7918,54.1,7,3,8,5.7,2,176.0,13,4,214,91,119,26,23,27,12,5,105,19,37,45,627,599,f,0.82,2021,2025-06-23,13.5,Reels,Art,Friends only,t,t,1,Free,1.03
585695,Instagram,17,Male,Japan,Rural,Middle,Full-time employed,Bachelor’s,Divorced,t,11.3,6.8,Good,No,Never,36,7,21.2,123,76,7945,35.3,1,1,13,3.8,1,249.0,16,13,252,119,144,51,39,36,18,8,137,57,28,91,1825,1595,f,0.41,2015,2025-08-09,15.6,Live,Food,Public,t,f,5,Free,1.14
1067220,Instagram,43,Non-binary,United States,Urban,Low,Retired,Bachelor’s,In a relationship,t,8.7,7.9,Good,No,Never,32,2,28.5,159,82,8132,41.8,1,2,7,1.9,2,327.0,21,6,228,150,197,65,38,56,27,10,157,50,47,92,4270,7957,f,0.56,2011,2025-07-25,15.6,Photos,Other,Private,t,f,0,Business,1.05
1086716,Instagram,28,Male,Canada,Suburban,Middle,Freelancer,Master’s,Married,t,3.5,5.2,Good,Yes,Weekly,9,10,24.8,103,63,8142,21.7,4,3,8,0.8,0,48.0,4,2,152,52,52,16,13,12,4,4,21,10,10,10,1964,2495,f,0.96,2018,2025-07-14,12.0,Stories,Fashion,Public,t,f,2,Free,1.84
1330353,Instagram,55,Male,Other,Urban,Low,Freelancer,Some college,Married,f,3.3,7.9,Average,No,Rarely,33,2,25.1,111,91,8048,29.7,0,2,10,12.5,2,411.0,36,6,283,150,255,56,56,68,43,12,229,67,90,145,397,600,t,0.57,2021,2025-10-04,11.4,Mixed,Travel,Private,t,t,2,Premium,0.93
164601,Instagram,62,Male,Brazil,Urban,Middle,Full-time employed,High school,Single,f,15.8,8.2,Excellent,No,Rarely,28,9,23.8,139,63,8036,56.3,2,6,11,2.9,3,153.0,10,4,119,97,101,27,23,20,11,3,73,39,30,31,1382,747,f,0.61,2020,2025-03-29,15.3,Videos,Art,Private,t,t,3,Free,1.08
767123,Instagram,39,Female,Australia,Suburban,Middle,Full-time employed,High school,Single,f,1.4,6.1,Average,No,Several times a week,40,5,21.3,144,77,7957,30.4,5,3,8,7.4,4,410.0,28,7,299,150,251,62,53,55,41,7,191,93,93,162,2450,1338,f,0.11,2017,2025-12-23,14.6,Reels,Art,Public,t,f,1,Free,0.96
717319,Instagram,59,Male,United Kingdom,Rural,Lower-middle,Full-time employed,High school,Widowed,t,15.5,6.8,Poor,Yes,Never,33,7,20.0,117,83,8033,42.7,7,6,13,8.9,2,154.0,5,2,134,71,100,22,28,23,16,6,91,30,36,49,2584,2980,f,0.45,2018,2025-03-20,30.8,Photos,Art,Public,t,t,2,Business,0.97
1228805,Instagram,15,Female,Germany,Rural,Middle,Full-time employed,Master’s,Married,f,11.0,8.4,Good,No,Never,17,2,28.1,106,63,7893,38.4,3,5,12,3.7,3,288.0,20,16,300,150,163,53,36,45,31,3,118,73,31,64,1438,3304,f,0.84,2021,2025-04-28,14.4,Reels,Food,Private,t,f,1,Business,1.1
1481868,Instagram,62,Female,Japan,Suburban,Middle,Full-time employed,Other,Married,f,6.2,6.8,Very poor,No,Rarely,21,7,21.4,159,98,7878,39.5,2,1,17,6.4,5,110.0,6,4,109,72,71,18,18,17,19,4,54,27,16,43,1270,2812,t,0.23,2013,2025-12-12,18.3,Photos,Fashion,Private,t,t,1,Premium,1.07
271169,Instagram,61,Male,Other,Suburban,Upper-middle,Student,Some college,Divorced,f,2.0,6.5,Excellent,No,Rarely,1,6,33.0,115,62,8067,44.3,5,4,8,3.7,5,5.0,1,4,43,43,32,6,12,8,2,2,2,1,1,2,1276,1107,f,0.98,2018,2025-08-15,5.0,Videos,Food,Public,f,t,3,Free,9.33
443738,Instagram,33,Female,India,Suburban,Upper-middle,Student,Bachelor’s,Married,f,14.0,6.5,Average,No,Weekly,38,6,21.8,134,63,7955,41.1,8,4,16,4.6,5,308.0,10,18,237,129,194,54,36,34,32,11,147,31,34,99,3599,8594,t,0.12,2017,2025-02-13,30.8,Reels,Other,Public,t,f,1,Premium,1.15
1387537,Instagram,59,Male,Brazil,Suburban,Lower-middle,Student,Bachelor’s,In a relationship,t,17.5,7.8,Good,No,Rarely,12,5,23.7,129,65,8144,50.6,2,3,9,7.0,4,80.0,6,5,80,66,69,13,25,17,9,1,43,23,13,24,809,346,t,0.29,2013,2025-05-13,13.3,Stories,Fashion,Private,f,f,4,Free,1.36
711954,Instagram,41,Female,South Korea,Urban,Upper-middle,Student,Other,Single,f,11.4,5.7,Poor,Yes,Weekly,3,1,26.5,113,61,8073,32.1,6,5,8,1.6,0,141.0,11,5,131,83,95,46,20,22,12,5,72,20,30,38,1476,2412,t,0.18,2010,2025-10-15,12.8,Stories,Tech,Public,t,f,1,Free,1.42
163389,Instagram,20,Male,India,Urban,Middle,Student,High school,Single,f,5.0,6.3,Average,No,Rarely,40,7,27.9,145,96,8024,25.2,2,4,16,5.0,9,355.0,29,11,300,150,199,61,55,59,42,7,199,52,43,116,965,1680,f,0.86,2010,2025-11-06,12.2,Photos,Tech,Private,t,f,1,Free,0.99
1212650,Instagram,34,Male,India,Urban,Low,Student,Bachelor’s,Married,f,8.8,6.6,Good,No,Daily,14,1,24.0,139,91,7782,30.8,4,3,14,4.8,3,150.0,9,2,128,93,87,36,20,18,13,3,88,19,37,55,2306,2846,t,0.27,2016,2025-07-10,16.7,Stories,Art,Public,t,f,3,Free,1.09
320671,Instagram,64,Non-binary,United States,Urban,Low,Student,Bachelor’s,Single,f,7.8,7.0,Average,No,Weekly,39,4,23.3,133,68,7932,31.1,4,0,13,3.2,4,258.0,15,10,201,150,134,50,28,28,31,6,129,76,26,77,2063,5131,f,0.92,2020,2025-03-04,17.2,Photos,Art,Friends only,t,f,3,Free,1.02
1163138,Instagram,26,Female,United States,Urban,Low,Unemployed,Master’s,In a relationship,t,5.0,7.7,Good,Yes,Weekly,26,1,35.3,132,87,8086,32.8,1,4,8,1.5,3,274.0,23,7,255,133,160,55,32,39,17,3,137,31,36,67,17699,10000,t,0.74,2014,2025-06-15,11.9,Photos,Food,Public,t,f,1,Premium,1.06
441087,Instagram,52,Male,Germany,Urban,High,Full-time employed,High school,Single,f,7.8,7.6,Excellent,No,Rarely,3,6,27.5,100,67,8016,59.1,0,1,13,3.7,6,52.0,2,1,66,57,46,13,11,10,12,4,28,7,8,11,2313,2266,f,0.52,2025,2025-04-23,26.0,Mixed,Travel,Private,f,f,2,Free,1.42
1213753,Instagram,13,Male,Canada,Urban,Low,Full-time employed,High school,Married,t,5.1,7.3,Good,Former,Never,10,2,27.8,113,76,7961,35.7,4,3,10,5.3,3,198.0,16,8,227,118,121,39,44,27,19,5,111,53,40,75,1746,2265,t,0.24,2022,2025-01-09,12.4,Reels,Fitness,Public,t,t,2,Premium,1.12
1208447,Instagram,48,Male,Canada,Suburban,Upper-middle,Part-time,Bachelor’s,In a relationship,t,10.5,8.1,Good,No,Weekly,7,4,25.4,100,60,7953,44.0,0,5,8,7.4,6,155.0,9,2,145,107,122,23,17,23,20,1,71,42,39,40,1949,3392,f,0.93,2018,2025-01-21,17.2,Videos,Food,Public,t,t,3,Premium,1.12
147447,Instagram,54,Male,United States,Suburban,Middle,Full-time employed,Some college,In a relationship,t,3.8,8.4,Good,No,Never,24,8,24.5,156,62,8102,19.0,5,7,6,0.8,2,160.0,8,3,146,95,97,27,24,22,18,5,72,28,36,40,499,1054,f,0.44,2025,2025-03-21,20.0,Stories,Tech,Public,f,t,3,Free,0.99
855700,Instagram,33,Female,India,Urban,High,Student,High school,Married,f,3.6,8.4,Poor,Yes,Weekly,36,8,20.8,149,84,8231,56.3,3,6,6,8.4,2,249.0,8,9,179,118,146,46,30,43,30,4,107,54,46,93,18334,10000,f,0.55,2023,2025-04-11,31.1,Live,Tech,Friends only,t,t,1,Free,1.06
1352613,Instagram,59,Male,Other,Urban,Middle,Full-time employed,High school,In a relationship,f,10.1,7.2,Good,No,Weekly,21,10,23.9,114,75,8086,62.7,2,3,11,2.0,4,85.0,5,5,86,65,76,16,14,13,13,4,35,10,11,17,85,34,f,0.71,2016,2025-07-19,17.0,Reels,Fitness,Private,f,t,2,Free,1.43
1245514,Instagram,62,Female,Germany,Urban,Middle,Student,Bachelor’s,Single,f,6.2,6.8,Very poor,No,Several times a week,31,2,28.1,100,90,8032,45.0,2,9,11,0.4,3,292.0,9,6,202,142,159,58,32,45,28,10,144,81,62,86,1669,732,f,0.03,2018,2025-02-26,32.4,Reels,Art,Private,t,t,2,Free,1.0
970762,Instagram,56,Male,Brazil,Rural,Lower-middle,Freelancer,Master’s,Single,f,11.3,5.9,Average,Yes,Weekly,23,3,23.1,115,63,7952,21.8,1,2,9,3.2,4,239.0,7,9,177,139,153,58,33,46,33,2,121,45,40,76,3497,1808,f,0.16,2015,2025-03-03,34.1,Videos,Music,Public,t,t,1,Free,1.23
6775,Instagram,26,Female,India,Urban,Middle,Student,Some college,In a relationship,f,7.3,6.7,Good,Yes,Rarely,40,9,25.2,136,69,7977,25.7,1,1,8,5.7,1,331.0,10,6,300,150,209,54,47,46,32,5,196,49,50,131,13753,9346,t,0.67,2011,2025-03-14,33.1,Reels,Fashion,Friends only,t,t,0,Free,1.01
944125,Instagram,35,Male,India,Urban,Upper-middle,Freelancer,High school,Married,t,15.6,4.9,Poor,No,Rarely,37,5,20.8,139,90,8010,46.8,3,4,8,6.7,1,298.0,17,8,244,143,171,52,46,43,37,1,125,81,37,81,1621,3903,f,0.28,2016,2025-01-09,17.5,Stories,Travel,Private,f,f,1,Free,1.0
119652,Instagram,26,Male,India,Urban,Middle,Full-time employed,Bachelor’s,Married,f,4.5,7.6,Average,No,Rarely,31,2,21.8,130,70,7882,49.8,3,0,15,1.0,1,396.0,15,6,300,150,206,78,50,56,27,7,209,70,41,95,1452,2515,f,0.36,2015,2025-01-04,26.4,Live,Fashion,Public,f,f,4,Free,0.96
1330504,Instagram,53,Female,United States,Urban,Upper-middle,Full-time employed,Bachelor’s,Single,f,5.6,8.3,Good,No,Never,25,7,25.4,138,94,8015,36.7,3,6,10,6.1,2,109.0,11,4,91,70,81,29,18,22,11,5,47,25,13,37,738,1384,f,0.08,2025,2025-03-20,9.9,Stories,Art,Public,t,f,4,Free,1.37
114371,Instagram,47,Male,United Kingdom,Rural,High,Freelancer,Bachelor’s,In a relationship,f,4.0,7.3,Excellent,Yes,Weekly,9,5,21.6,96,73,8111,39.1,5,2,8,3.3,4,74.0,4,4,73,59,55,20,14,17,9,1,30,18,16,24,1715,3452,f,0.38,2018,2025-04-09,18.5,Stories,Fitness,Public,t,f,3,Free,1.43
1357762,Instagram,28,Female,Other,Urban,Lower-middle,Full-time employed,Bachelor’s,Married,f,3.9,8.6,Excellent,No,Rarely,18,2,21.3,123,97,7949,36.1,4,2,11,1.7,1,191.0,9,2,258,103,142,29,28,29,22,8,82,53,44,43,598,1351,f,0.76,2024,2025-12-29,21.2,Live,Travel,Friends only,f,f,3,Premium,1.07
1077897,Instagram,49,Female,India,Urban,Lower-middle,Full-time employed,Bachelor’s,In a relationship,f,5.0,7.6,Poor,Yes,Rarely,15,10,22.2,98,63,8010,37.4,2,3,15,5.7,4,38.0,4,5,65,56,44,14,12,14,9,1,20,5,5,15,2678,3133,t,0.31,2022,2025-06-25,9.5,Live,Tech,Private,f,t,2,Free,2.23
1001919,Instagram,65,Female,Other,Rural,Lower-middle,Full-time employed,Master’s,Single,f,6.7,5.2,Average,No,Never,14,6,19.3,143,79,8074,38.5,3,2,5,5.1,2,118.0,5,6,95,81,94,16,20,32,12,4,70,28,13,30,1793,4219,f,0.31,2014,2025-05-28,23.6,Live,Travel,Private,t,t,4,Free,1.21
826828,Instagram,44,Female,United States,Urban,Middle,Freelancer,Master’s,In a relationship,f,7.2,7.1,Average,Former,Rarely,24,10,29.6,142,72,8096,33.0,1,8,15,1.2,4,89.0,4,2,104,52,59,16,20,29,7,4,46,19,19,34,173,140,f,0.11,2021,2025-12-22,22.2,Videos,Tech,Public,t,t,2,Premium,1.08
658679,Instagram,52,Female,India,Suburban,Lower-middle,Student,Some college,Single,t,1.4,8.9,Excellent,No,Rarely,22,6,33.4,114,69,8143,22.9,1,5,4,3.5,4,163.0,6,1,143,93,107,41,24,21,19,3,91,18,28,57,1710,3136,f,0.27,2018,2025-10-01,27.2,Photos,Fitness,Public,t,f,2,Business,1.17
1096916,Instagram,45,Female,Brazil,Urban,Upper-middle,Full-time employed,Bachelor’s,Married,t,7.0,5.4,Average,No,Rarely,33,9,21.1,118,90,7916,35.2,2,5,18,2.0,3,256.0,13,7,189,116,149,48,30,36,33,8,143,62,62,57,1874,1550,f,0.76,2017,2025-03-02,19.7,Live,Travel,Friends only,t,f,3,Free,1.04
263685,Instagram,60,Male,United States,Urban,High,Full-time employed,Bachelor’s,Single,f,5.1,8.0,Poor,No,Never,0,6,22.3,111,94,8144,71.0,2,3,9,2.7,1,5.0,1,4,46,25,27,6,12,9,1,1,2,1,1,2,4179,3248,f,0.93,2015,2025-05-03,5.0,Stories,Art,Friends only,f,f,1,Free,8.5
925915,Instagram,54,Female,Brazil,Suburban,Middle,Full-time employed,Some college,In a relationship,f,1.4,7.8,Average,No,Never,18,7,27.1,123,73,8047,45.5,4,6,12,1.1,2,79.0,3,4,88,57,65,25,19,14,16,1,46,20,15,29,605,826,f,0.79,2014,2025-06-10,26.3,Videos,Music,Private,f,f,3,Premium,1.59
1181235,Instagram,41,Male,Canada,Rural,Upper-middle,Freelancer,Some college,Single,f,3.7,6.4,Good,No,Never,16,9,24.3,151,92,7990,20.9,4,1,9,1.5,1,109.0,3,4,119,60,73,17,20,18,17,1,63,30,23,27,573,652,f,0.38,2024,2026-01-04,36.3,Photos,Travel,Friends only,f,f,1,Premium,1.08
1377093,Instagram,38,Female,United States,Urban,Middle,Full-time employed,Bachelor’s,In a relationship,t,4.2,7.8,Good,No,Never,4,10,23.1,111,91,7952,28.5,1,8,16,4.2,2,40.0,2,1,65,49,45,9,12,16,8,2,16,11,6,11,1143,571,f,0.8,2023,2025-03-19,20.0,Mixed,Music,Public,t,f,0,Free,1.61
1417526,Instagram,64,Non-binary,Australia,Urban,Low,Unemployed,Bachelor’s,Married,f,7.1,7.6,Average,No,Several times a week,13,6,26.6,114,75,8110,44.3,2,2,3,5.4,1,67.0,5,4,77,55,66,17,17,21,10,0,35,7,15,25,1216,1001,f,0.52,2016,2025-09-29,13.4,Reels,Music,Private,t,f,5,Free,1.65
788426,Instagram,58,Male,Canada,Urban,Lower-middle,Full-time employed,Bachelor’s,Single,t,6.0,4.5,Average,No,Rarely,16,5,25.1,113,63,7997,54.6,1,4,6,3.1,4,178.0,10,4,124,122,120,42,39,39,21,3,106,31,22,66,1023,1309,t,0.39,2024,2025-10-16,17.8,Videos,Tech,Friends only,t,t,5,Free,1.21
1272475,Instagram,65,Female,Other,Urban,Upper-middle,Full-time employed,Bachelor’s,Single,f,9.5,8.2,Excellent,No,Daily,5,10,24.1,94,77,8091,41.6,5,3,9,4.0,2,5.0,1,3,48,34,33,8,7,8,5,2,2,1,1,2,2276,4489,f,0.21,2022,2025-05-21,5.0,Stories,Travel,Public,f,f,4,Free,9.67
319817,Instagram,47,Female,South Korea,Urban,Lower-middle,Unemployed,Bachelor’s,Single,f,9.9,8.2,Very poor,No,Never,4,6,26.5,141,85,8070,43.3,4,1,8,1.0,2,5.0,1,3,45,25,24,4,11,8,4,0,2,1,1,2,2074,924,f,0.15,2011,2025-10-15,5.0,Mixed,Tech,Private,f,t,2,Free,6.83
74804,Instagram,58,Male,United States,Suburban,Middle,Full-time employed,Master’s,In a relationship,f,10.1,7.2,Poor,No,Weekly,30,2,26.4,107,79,8077,34.8,3,7,11,5.2,1,356.0,16,10,237,150,201,66,43,63,38,12,171,64,81,87,739,1188,f,0.95,2014,2025-10-18,22.2,Photos,Tech,Public,t,t,3,Free,1.02
272872,Instagram,37,Female,United States,Urban,Middle,Student,Some college,In a relationship,t,4.3,5.4,Average,Yes,Never,20,7,22.7,112,72,8020,52.5,4,4,10,2.4,4,136.0,5,3,116,90,110,27,25,22,15,3,77,26,18,29,1716,1075,t,0.86,2022,2025-10-30,27.2,Mixed,Tech,Friends only,t,t,1,Free,1.26
421243,Instagram,35,Male,Other,Urban,Lower-middle,Freelancer,High school,Single,f,4.3,6.3,Poor,No,Weekly,8,1,21.7,113,65,8091,55.0,1,2,12,2.3,6,141.0,13,5,144,87,91,30,34,26,12,2,64,20,31,37,2650,6142,f,0.95,2012,2025-09-21,10.8,Photos,Art,Private,t,f,0,Free,1.17
518590,Instagram,55,Male,Australia,Urban,Middle,Unemployed,High school,Single,f,8.6,7.3,Excellent,No,Rarely,4,8,27.0,155,66,8118,35.6,1,7,10,5.6,3,5.0,1,3,63,32,26,5,13,13,6,0,2,1,1,2,1783,1599,f,0.85,2010,2025-09-22,5.0,Photos,Art,Friends only,f,f,5,Free,7.5
874239,Instagram,24,Female,Brazil,Suburban,Middle,Unemployed,Some college,Single,t,9.2,5.7,Poor,No,Rarely,29,3,18.4,153,84,8151,27.2,1,0,10,7.5,7,336.0,10,9,300,150,189,57,46,49,40,7,184,41,79,107,950,1326,f,0.52,2015,2025-06-19,33.6,Stories,Tech,Friends only,t,f,1,Free,0.98
424219,Instagram,24,Female,United States,Rural,Lower-middle,Freelancer,High school,Single,t,0.9,7.0,Good,No,Rarely,1,2,29.5,147,60,7973,42.7,2,2,9,4.2,1,107.0,3,4,171,74,85,18,23,19,18,3,48,13,12,32,638,1239,f,0.52,2010,2025-12-24,35.7,Photos,Fitness,Friends only,t,t,4,Free,1.23
1090122,Instagram,42,Female,United States,Urban,Low,Freelancer,High school,In a relationship,f,9.4,7.8,Good,No,Weekly,40,1,28.4,122,74,8130,38.4,3,3,7,4.1,2,337.0,14,9,223,150,195,50,50,49,21,10,139,35,83,98,2122,2579,t,0.3,2018,2025-07-02,24.1,Photos,Travel,Friends only,f,t,0,Premium,0.95
143680,Instagram,15,Female,United States,Suburban,Middle,Student,PhD,Single,t,4.2,7.9,Average,No,Daily,5,9,27.5,124,99,8084,38.1,1,3,11,3.4,2,5.0,1,7,125,34,29,10,11,7,5,1,2,1,1,1,355,728,t,0.72,2020,2025-08-03,5.0,Stories,Music,Friends only,t,t,0,Free,11.67
1058105,Instagram,29,Female,Brazil,Urban,Upper-middle,Freelancer,High school,Married,t,11.3,6.0,Good,No,Rarely,11,2,25.3,140,87,7958,43.5,5,7,9,3.7,3,178.0,15,3,199,99,101,38,25,23,18,1,78,40,35,49,878,1435,t,0.32,2022,2025-06-05,11.9,Videos,Other,Public,t,f,3,Premium,1.04
851787,Instagram,43,Male,United Kingdom,Suburban,Middle,Student,Bachelor’s,In a relationship,t,5.0,7.1,Average,Yes,Several times a week,25,8,23.8,138,89,8095,36.3,2,4,10,7.7,1,234.0,20,4,192,127,149,46,28,48,33,12,137,47,24,87,941,2002,f,0.47,2025,2025-07-25,11.7,Live,Art,Friends only,t,t,3,Premium,1.08
723581,Instagram,64,Male,United Kingdom,Urban,Middle,Full-time employed,Other,In a relationship,f,3.5,8.1,Average,No,Weekly,5,1,26.1,91,65,8050,41.5,7,3,10,3.3,0,111.0,4,3,85,64,69,26,26,19,10,2,51,12,14,28,137,152,t,0.74,2015,2025-12-30,27.8,Live,Art,Public,f,f,4,Free,1.16
175265,Instagram,36,Non-binary,Brazil,Urban,Lower-middle,Freelancer,Bachelor’s,Single,t,2.9,7.6,Good,Yes,Weekly,1,9,25.6,128,60,7918,57.5,2,2,11,9.7,4,5.0,1,1,37,39,19,8,12,8,5,1,3,1,1,2,645,1342,t,0.02,2014,2025-03-22,5.0,Videos,Fitness,Friends only,f,f,2,Free,6.33
899385,Instagram,44,Male,United States,Urban,Lower-middle,Freelancer,Master’s,Divorced,f,5.7,4.8,Average,No,Rarely,37,3,20.3,135,73,8003,40.8,1,3,12,2.5,4,310.0,10,4,206,144,197,48,39,52,33,3,126,84,45,118,916,1450,t,0.89,2013,2025-12-18,31.0,Photos,Food,Private,f,f,2,Free,0.98
877828,Instagram,17,Female,India,Suburban,High,Student,Some college,In a relationship,f,1.2,8.3,Average,No,Weekly,28,2,27.4,108,92,7815,59.6,2,5,11,3.8,1,376.0,12,13,300,150,200,57,38,44,35,7,199,111,54,91,804,1514,f,0.78,2021,2025-03-04,31.3,Reels,Travel,Private,t,t,1,Free,0.94
